Sun Nov 27 19:55:08 2016 : 0, occupied; 
Sun Nov 27 19:55:17 2016 : 0, occupied; 
Mon Nov 28 15:05:17 2016 : 
Mon Nov 28 21:18:59 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:19:09 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:19:19 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:19:29 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:19:39 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:19:49 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:19:59 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:20:09 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:20:19 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:20:29 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:20:39 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:20:49 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:20:59 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:21:09 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:21:19 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:21:29 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:21:39 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:21:49 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:21:59 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:22:10 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:22:20 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:22:30 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:22:40 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:22:50 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:23:00 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:23:10 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:23:20 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:23:30 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:23:40 2016 : 0, occupied; 1, occupied; 2, empty; 
Mon Nov 28 21:23:50 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:24:00 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:24:10 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:24:20 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:24:30 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:24:40 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:24:50 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:25:00 2016 : 0, occupied; 1, occupied; 2, empty; 
Mon Nov 28 21:25:11 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:25:21 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:25:31 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:25:41 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:25:51 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:26:01 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:26:11 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:26:21 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:26:31 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:26:41 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:26:51 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:27:01 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:27:11 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:27:21 2016 : 0, occupied; 1, occupied; 2, occupied; 
